reviewId,userName,content,score
61b95f98-136b-45dc-93a1-ce2ad73f09a4,Chikhsalah youcef,"Hello! I've been using the Safe Kids app and find it really useful for monitoring my child's online activity. However, I noticed that the app doesn't seem to have access to phone calls, messenger apps, Facebook, or WhatsApp. Is there a specific reason for this? It would be great to understand the app's capabilities better. Thank you for your support!""",4
165a17e7-36fa-469f-bc70-5993500bd3c6,Rick Timmers,"Can't rely on this product at all. Does not work on Windows 10/11 for more than a few days. Then you can't even uninstall it. And it also does not work on Android for more than a day: due to ""agressive"" memory management on (OnePlus) phones. Even on mainstream Samsung phones, when the phones goes to power saving mode, Safe Kids stops working. Opening a ticket for the issues means providing info/performing tests. They'll close the ticket without solution or even informing you: a worthless product",1
8d74680b-5fdd-4185-9f4c-69837d381857,Cool Dude,Nice App for parenting,5
f9680221-9a93-4563-b1f4-34fc1d94d639,Oleg Sorocean,"Good overall, not without small annoying issues from time to time :)",5
0d5eb558-44b3-4b98-b9ad-19e4204f6dfc,Rukmani Ballabh Das,very good,5
3d6f43de-0c70-4ab4-9de8-c25c7e5f3f20,Zachary Crane,"Avoid this app. It does not have a way to allow ""good use"" of the phone and restrict all other use. Like if my child listens to music while doing chores for an hour, their screen time is all used up. But that's not the point of restricting! And kaspersky chat support is just a bot so you can't even suggest they fix this. (Although people tried on the forum for years.)",1
6cf9492a-3d86-44b2-8f25-d8ac39b72356,Noah Silver,Great paternal controls and affordable. This is exactly what I needed to give my son some choice and freedom while putting some guard rails on his device use.,5
204b2ce9-f7b2-47a7-b89f-138fca95ef57,Kubilay Yildirim,"Below expectations.. very bad.### kaspersky safe kids is really below expectations. I have complained before, at least a year ago, but nothing changes and no return to feedback. Youtube history is not working at all while on my child's device youtube history is ON. Blocked APP's still working... very very bad. I am going to write this on the Google appstore as well, as long as you are not correcting this.",1
7e5763f1-9d75-4676-ae46-2071e35b139c,S. J.,"Paid for all the full functions, Pretty good overall, one problem is sometimes the device will use up the allocated time while the kids asleep, need to be able to block usage during sleeptime and have a window where they can use the allocated time.",4
e6c2af25-8097-4cb3-ad99-9172cd40688a,Yossi Goldman,Malware! Can't uninstall!,1
02247469-b1bd-457b-b79a-08c2039ff2db,Edson Gardea,"I can't lock my 14 year old iPhone 13 mini. It only sends notifications to her about her time usage, but it doesn't lock it. I need to be able to lock the phone on command or at the set time schedule. I paid for the premium service.",1
911c14f2-0f8b-480f-8941-ed3c532799e0,Johno Cherise,Very good. All products from Kaspersky are good,5
4cc8461a-243d-47f7-8b83-ed2abb06dea1,Robert Lewis,Works well but the user interface is clumsy,4
3263bdc7-d971-44b8-8ef0-e1c82d165efa,Elnur Isgenderov,"Usless app. Automatically switch off device monitoring. It monitors only apps. If your kid opens it on brauzers, this app will not do anything. After three months later, still Kaspersky team could not solve the issue Don't buy this apps. It is just wasting of money",1
2509102e-3391-43ea-8d71-cefa752b2d54,Luther Obuotor,This is a really great app in helping to monitor and safeguard your kids' activities on their phone. The real-time tracking is amazing and quite accurate 👌,5
0008737c-49cb-4a6c-b853-f9d8b8709eda,count down,Very usefull,5
400997c4-7709-4aef-927e-a0faa7c9991d,George Shishov,"Несколько лет назад работало более-менее, сейчас это абсолютно бесполезное приложение. Не мониторит и не записывает никакие данные по нескольку недель, пока я не вмешаюсь. Понятно, что сейчас новые версии Андроид идут с продвинутой защитой, которую для приложения нужно отключать, но у ребенка достаточно старый телефон Meizu Pro 6 Plus c 7-м Андроидом, все рекомендуемые настройки выставлены. А тем временем, приходится узнавать об особенностях поведения ребенка от родственников и родителей друзей.",1
03e2d1fb-8b9a-4189-bf0a-4b61f51714c6,Karim Mohamed,kos omak,1
97f87454-dcca-4194-9022-db00f34ecd44,Teresa Robinson-Duane,Great app for protecting kids and teens,5
21e021c4-6ff2-4bc6-b258-413b7e0d7aa3,farqad sharba,Easy to use,5
673d6ec8-162a-400c-be75-56a51a5fcb93,Winter Meiser,It's not letting me unstall it don't download,1
4dfbe5cb-0727-4361-b682-0fe913c283e1,Daniel Kearney,"Avoid. Kids safety apps are still too immature to be useful - only features that worked was block all or block none. Absence of granularity. - kids can easily deactivate - parent account constantly not receiving activity information or device - lazy bespoke features. Instead of using Android api (far superior) Kaspersky wrote their own. Feature incomplete, easy to circumvent and buggy.",1
b58e0f51-252f-4ed4-808f-23ff8c2ac401,Guddu Kumar,"Everything is fine but can you banned and block the site like kamsutra ( Indian text and film which talk about sex), YouTube shows sexual contaits if kids are typing. Please block this. Block the term kamsutra if someone is searching. Please consider my request for 5 rating and happy experience of parents. Keep open sites like iskcon desire tree, this is good site for kids. Thank you",1
f8865fdb-af59-4ee5-a84b-e1be60ea9181,Reggie Brown,"Great app & its easy to use. I feel confident my child can't access or download anything that we do not want available on his Galaxy Tablet. The disable app feature is a great tool that allows you to disable anything you want from installed apps/app store & browser to system apps like the camera, messages, & phone. The ability to ask permission to forbidden apps is a great feature as well because you can grant access to things like the play store when apps need updated or downloaded.",5
2014e3d7-e5d2-4ea3-bc33-6bee210c57fc,Abhishek Sahu,"I am using premium version of the app. Everything is very good but there is only one problem, wherever i pull down notification the screen becomes white and starts rotating even when rotation lock is on. It is very frustrating to use device like that, i will give a 5 star rating if you can resolve the white screen in notification screen & screen rotation.",1
54d8b124-0c1c-4af5-8299-9581b02336ba,team_evolve,Thank You Kaspersky safehids wit GPT Thank Your Loved,5
c6ea2ccc-09b3-492e-b12d-3f2e6c850740,Nandini Tharanipathy,"Very buggy, although time is provided, child's device is not receiving it, very problematic for online classes.",1
1d40970d-b485-4bed-8b6c-fc0a4e605944,WV F,"Worst possible experience. After installing and setting it up on my kids tablet and my phone, I can't disable or change anything on my kids tablet anymore because I am unable to enter my credentials to turn the app off or to uninstall it. The keyboard will just not show up and I am unable to enter email and password to deactivate it. After 2 hours setting up my kids tablet, I can go back to factory reset and start over again.",1
c149c7ba-288e-4985-9b92-98362591876b,Garv “Garv” dudeja,Family safaty,5
219aecf8-0525-48b8-b548-06c4b9309086,Abhishek Shrivastava,excellent app for parent,5
4ab9fc41-6490-4709-bd34-7fefb81c2d41,Mohamed Sabir,excellent,5
69fe9b4f-d279-42eb-af98-830a7714e6db,Kazi Mashrur Mamun,Overall good. Can be more customized....website wise set time limit,4
8ac1efe4-6667-4b0e-bd8f-179702c045e4,Laila Dislere,Perfection.,5
